Symbol,Date,IsCircuit
NSE:CTE,2026-01-20,1
NSE:BGRENERGY,2026-01-19,1
NSE:VIVIMEDLAB,2026-01-16,1
NSE:VIJIFIN,2026-01-14,1
NSE:VIJIFIN,2026-01-13,1
NSE:ROLLT,2026-01-12,1
NSE:VIVIMEDLAB,2026-01-12,1
NSE:VIVIMEDLAB,2026-01-09,1
NSE:ROLLT,2026-01-08,1
NSE:VIVIMEDLAB,2026-01-08,1
NSE:NACLIND,2026-01-07,1
NSE:VIVIMEDLAB,2026-01-07,1
NSE:MANGALAM,2026-01-06,1
NSE:MCL,2026-01-05,1
NSE:MANGALAM,2026-01-05,1
NSE:SHIVAUM,2026-01-05,1
NSE:VIVIMEDLAB,2026-01-05,1
NSE:MCL,2026-01-02,1
NSE:MANGALAM,2026-01-02,1
NSE:PALREDTEC,2026-01-02,1
NSE:VIVIMEDLAB,2026-01-02,1
NSE:MANGALAM,2026-01-01,1
NSE:OSIAHYPER,2026-01-01,1
NSE:TEMBO,2026-01-01,1
NSE:VIVIMEDLAB,2026-01-01,1
NSE:MANGALAM,2025-12-31,1
NSE:OSIAHYPER,2025-12-31,1
NSE:TEMBO,2025-12-31,1
NSE:VIVIMEDLAB,2025-12-31,1
NSE:MANGALAM,2025-12-30,1
NSE:VIVIMEDLAB,2025-12-30,1
NSE:VIVIMEDLAB,2025-12-29,1
NSE:VIVIMEDLAB,2025-12-26,1
NSE:S&SPOWER,2025-12-19,1
NSE:S&SPOWER,2025-12-18,1
NSE:TVVISION,2025-12-17,1
NSE:DIGJAMLMTD,2025-12-15,1
NSE:DIGJAMLMTD,2025-12-12,1
NSE:OSIAHYPER,2025-12-12,1
NSE:ALPSINDUS,2025-12-11,1
NSE:DIGJAMLMTD,2025-12-11,1
NSE:OSIAHYPER,2025-12-11,1
NSE:DIGJAMLMTD,2025-12-10,1
NSE:SABTNL,2025-12-08,1
NSE:ORTINGLOBE,2025-12-04,1
NSE:FLEXITUFF,2025-12-02,1
NSE:SHIVAUM,2025-12-02,1
NSE:SMLMAH,2025-12-02,1
NSE:FLEXITUFF,2025-12-01,1
NSE:TECILCHEM,2025-12-01,1
NSE:FLEXITUFF,2025-11-28,1
NSE:MCLOUD,2025-11-28,1
NSE:MANGALAM,2025-11-28,1
NSE:RSSOFTWARE,2025-11-28,1
NSE:FLEXITUFF,2025-11-27,1
NSE:MCLOUD,2025-11-27,1
NSE:NAVKARURB,2025-11-27,1
NSE:SVPGLOB,2025-11-27,1
NSE:FLEXITUFF,2025-11-26,1
NSE:CAPTRUST,2025-11-25,1
NSE:CAPTRUST,2025-11-24,1
NSE:FLEXITUFF,2025-11-24,1
NSE:SABTNL,2025-11-24,1
NSE:CAPTRUST,2025-11-21,1
NSE:SABTNL,2025-11-21,1
NSE:CAPTRUST,2025-11-20,1
NSE:FISCHER,2025-11-20,1
NSE:CAPTRUST,2025-11-19,1
NSE:FISCHER,2025-11-19,1
NSE:CAPTRUST,2025-11-18,1
NSE:FISCHER,2025-11-18,1
NSE:VCL,2025-11-18,1
NSE:CAPTRUST,2025-11-17,1
NSE:FISCHER,2025-11-17,1
NSE:IRIS,2025-11-17,1
NSE:LCCINFOTEC,2025-11-17,1
NSE:VLEGOV,2025-11-17,1
NSE:CAPTRUST,2025-11-14,1
NSE:FISCHER,2025-11-14,1
NSE:HILTON,2025-11-14,1
NSE:SABTNL,2025-11-14,1
NSE:CAPTRUST,2025-11-13,1
NSE:SABTNL,2025-11-13,1
NSE:SABTNL,2025-11-12,1
NSE:ONELIFECAP,2025-11-11,1
NSE:ZUARI,2025-11-11,1
NSE:ONELIFECAP,2025-11-10,1
NSE:ZUARI,2025-11-10,1
NSE:IRIS,2025-11-06,1
NSE:CAPTRUST,2025-10-30,1
NSE:SELMC,2025-10-29,1
NSE:MEGASOFT,2025-10-28,1
NSE:SELMC,2025-10-28,1
NSE:CTE,2025-10-27,1
NSE:FMNL,2025-10-27,1
NSE:GLFL,2025-10-27,1
NSE:SELMC,2025-10-27,1
NSE:FMNL,2025-10-24,1
NSE:SEJALLTD,2025-10-23,1
NSE:SELMC,2025-10-23,1
NSE:SEJALLTD,2025-10-21,1
NSE:SELMC,2025-10-21,1
NSE:SEJALLTD,2025-10-20,1
NSE:TAKE,2025-10-13,1
NSE:TNTELE,2025-10-13,1
NSE:VISASTEEL,2025-10-13,1
NSE:CAPTRUST,2025-10-10,1
NSE:MAHKTECH,2025-10-10,1
NSE:SOLEX,2025-10-10,1
NSE:SPCENET,2025-10-10,1
NSE:TAKE,2025-10-10,1
NSE:TNTELE,2025-10-10,1
NSE:VISASTEEL,2025-10-10,1
NSE:CAPTRUST,2025-10-09,1
NSE:TAKE,2025-10-09,1
NSE:TRU,2025-10-09,1
NSE:VISASTEEL,2025-10-09,1
NSE:AAATECH,2025-10-08,1
NSE:CALSOFT,2025-10-08,1
NSE:CAPTRUST,2025-10-08,1
NSE:TAKE,2025-10-08,1
NSE:VISASTEEL,2025-10-08,1
NSE:CALSOFT,2025-10-07,1
NSE:CAPTRUST,2025-10-07,1
NSE:MAHKTECH,2025-10-07,1
NSE:TAKE,2025-10-07,1
NSE:VISASTEEL,2025-10-07,1
NSE:CAPTRUST,2025-10-06,1
NSE:TAKE,2025-10-06,1
NSE:VISASTEEL,2025-10-06,1
NSE:TAKE,2025-10-03,1
NSE:VISASTEEL,2025-10-03,1
NSE:TAKE,2025-10-01,1
NSE:VISASTEEL,2025-10-01,1
NSE:GATECH,2025-09-29,1
NSE:TRU,2025-09-26,1
NSE:URAVIDEF,2025-09-26,1
NSE:PANACHE,2025-09-25,1
NSE:TRU,2025-09-25,1
NSE:TRU,2025-09-24,1
NSE:RHFL,2025-09-23,1
NSE:HINDMOTORS,2025-09-22,1
